,timestamp,procs_r,procs_b,mem_swpd,mem_free,mem_buff,mem_cache,swap_si,swap_so,io_bi,io_bo,sys_in,sys_cs,cpu_us,cpu_sy,cpu_id,cpu_wa,cpu_st
0,13:38:27,21,0,0,11248.012,99792,1855216,0,0,19,13,386,63,85,3,11,1,0
1,13:38:28,20,0,0,11242.892,99792,1858884,0,0,19,13,386,63,85,3,11,1,0
2,13:38:29,20,0,0,11241.988,99796,1859196,0,0,19,13,386,63,85,3,11,1,0
3,13:38:30,20,0,0,11243.192,99796,1858852,0,0,19,13,386,63,85,3,11,1,0
4,13:38:31,20,0,0,11247.54,99808,1855540,0,0,19,13,386,63,85,3,11,1,0
5,13:38:33,21,0,0,11246.696,99808,1858832,0,0,19,13,386,63,85,3,11,1,0
6,13:38:34,20,0,0,11250.264,99808,1859432,0,0,19,13,386,63,85,3,11,1,0
7,13:38:35,20,0,0,11250.2,99808,1858972,0,0,19,13,386,63,85,3,11,1,0
8,13:38:36,20,0,0,11253.184,99820,1855868,0,0,19,13,386,63,85,3,11,1,0
9,13:38:38,21,0,0,11251.508,99820,1859156,0,0,19,13,386,63,85,3,11,1,0
10,13:38:39,20,0,0,11222.196,99820,1859644,0,0,19,13,386,63,85,3,11,1,0
11,13:38:40,22,0,0,11140.16,99820,1859684,0,0,19,13,386,63,85,3,11,1,0
12,13:38:41,20,0,0,11048.684,99820,1859180,0,0,19,13,386,63,85,3,11,1,0
13,13:38:42,20,0,0,10938.076,99828,1855872,0,0,19,13,386,64,85,3,11,1,0
14,13:38:44,23,0,0,10766.484,99828,1859220,0,0,19,13,386,64,85,3,11,1,0
15,13:38:45,20,0,0,10582.156,99828,1859728,0,0,19,13,386,64,85,3,11,1,0
16,13:38:46,20,0,0,10467.708,99828,1859264,0,0,19,13,386,64,85,3,11,1,0
17,13:38:47,20,0,0,10360.676,99840,1855900,0,0,19,13,387,65,85,3,11,1,0
18,13:38:48,21,0,0,10200.728,99840,1859432,0,0,19,13,387,65,85,3,11,1,0
19,13:38:50,20,0,0,10112.836,99840,1862272,0,0,19,13,387,65,85,3,11,1,0
20,13:38:51,20,0,0,9984.984,99840,1861372,0,0,19,13,387,66,85,3,11,1,0
