,timestamp,user,pid,cpu,mem,vsz,rss,tty,stat,start,time,cmd
1856,root        1267  0.1  0.5 1825032 90680 ?       Ssl  mai14   0:03 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock,root,21821,0.0,0.0,1075120,4184,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1857,root        1267  0.1  0.5 1825032 90680 ?       Ssl  mai14   0:03 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock,root,21830,0.0,0.0,1075376,3504,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1858,root        1267  0.1  0.5 1825032 90680 ?       Ssl  mai14   0:03 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock,kernux,30868,2.0,0.2,1497952,46608,pts/1,Sl+,00:09,0:00,docker
1859,root        1267  0.1  0.5 1825032 90680 ?       Ssl  mai14   0:03 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock,root,1267,0.1,0.5,1825032,90680,?,Ssl,mai14,0:03,/usr/bin/dockerd
1860,kernux      2587  0.0  0.4 21209236 65356 ?      Sl   mai14   0:00 /usr/share/code/code --ms-enable-electron-run-as-node /home/kernux/.vscode/extensions/ms-azuretools.vscode-docker-1.22.0/dist/dockerfile-language-server-nodejs/lib/server.js --node-ipc --node-ipc --clientProcessId=2484,kernux,2588,0.0,0.4,21209236,65192,?,Sl,mai14,0:00,/usr/share/code/code
1861,kernux      2587  0.0  0.4 21209236 65356 ?      Sl   mai14   0:00 /usr/share/code/code --ms-enable-electron-run-as-node /home/kernux/.vscode/extensions/ms-azuretools.vscode-docker-1.22.0/dist/dockerfile-language-server-nodejs/lib/server.js --node-ipc --node-ipc --clientProcessId=2484,kernux,21681,0.0,0.0,7560,6536,pts/0,S+,00:04,0:00,docker-compose
1862,kernux      2587  0.0  0.4 21209236 65356 ?      Sl   mai14   0:00 /usr/share/code/code --ms-enable-electron-run-as-node /home/kernux/.vscode/extensions/ms-azuretools.vscode-docker-1.22.0/dist/dockerfile-language-server-nodejs/lib/server.js --node-ipc --node-ipc --clientProcessId=2484,kernux,21688,0.3,0.2,298596,43612,pts/0,Sl+,00:04,0:00,docker-compose
1863,kernux      2587  0.0  0.4 21209236 65356 ?      Sl   mai14   0:00 /usr/share/code/code --ms-enable-electron-run-as-node /home/kernux/.vscode/extensions/ms-azuretools.vscode-docker-1.22.0/dist/dockerfile-language-server-nodejs/lib/server.js --node-ipc --node-ipc --clientProcessId=2484,root,21821,0.0,0.0,1075120,4184,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1864,kernux      2587  0.0  0.4 21209236 65356 ?      Sl   mai14   0:00 /usr/share/code/code --ms-enable-electron-run-as-node /home/kernux/.vscode/extensions/ms-azuretools.vscode-docker-1.22.0/dist/dockerfile-language-server-nodejs/lib/server.js --node-ipc --node-ipc --clientProcessId=2484,root,21830,0.0,0.0,1075376,3504,?,Sl,00:04,0:00,/usr/bin/docker-proxy
1865,kernux      2587  0.0  0.4 21209236 65356 ?      Sl   mai14   0:00 /usr/share/code/code --ms-enable-electron-run-as-node /home/kernux/.vscode/extensions/ms-azuretools.vscode-docker-1.22.0/dist/dockerfile-language-server-nodejs/lib/server.js --node-ipc --node-ipc --clientProcessId=2484,kernux,30910,2.0,0.2,1572452,45900,pts/1,Sl+,00:09,0:00,docker
1866,kernux      2587  0.0  0.4 21209236 65356 ?      Sl   mai14   0:00 /usr/share/code/code --ms-enable-electron-run-as-node /home/kernux/.vscode/extensions/ms-azuretools.vscode-docker-1.22.0/dist/dockerfile-language-server-nodejs/lib/server.js --node-ipc --node-ipc --clientProcessId=2484,root,1267,0.1,0.5,1825032,90680,?,Ssl,mai14,0:03,/usr/bin/dockerd
1867,kernux      2587  0.0  0.4 21209236 65356 ?      Sl   mai14   0:00 /usr/share/code/code --ms-enable-electron-run-as-node /home/kernux/.vscode/extensions/ms-azuretools.vscode-docker-1.22.0/dist/dockerfile-language-server-nodejs/lib/server.js --node-ipc --node-ipc --clientProcessId=2484,kernux,2587,0.0,0.4,21209236,65356,?,Sl,mai14,0:00,/usr/share/code/code
1868,kernux      2588  0.0  0.4 21209236 65192 ?      Sl   mai14   0:00 /usr/share/code/code --ms-enable-electron-run-as-node /home/kernux/.vscode/extensions/ms-azuretools.vscode-docker-1.22.0/dist/compose-language-service/lib/server.js --node-ipc --node-ipc --clientProcessId=2484,kernux,21681,0.0,0.0,7560,6536,pts/0,S+,00:04,0:00,docker-compose
1869,kernux      2588  0.0  0.4 21209236 65192 ?      Sl   mai14   0:00 /usr/share/code/code --ms-enable-electron-run-as-node /home/kernux/.vscode/extensions/ms-azuretools.vscode-docker-1.22.0/dist/compose-language-service/lib/server.js --node-ipc --node-ipc --clientProcessId=2484,kernux,21688,0.3,0.2,298596,43612,pts/0,Sl+,00:04,0:00,docker-compose
