,timestamp,CONTAINER ID,source,id,CPU (%),MEM USAGE,LIMIT,MEM %,NET IN,NET OUT,BLOCK IN,BLOCK OUT,PIDS
0,21:54:22,0698500cc860,docker_redis_8,8,0.21,1.63053568,419.4304,0.39%,0.00317,0.0,0.205,0.0,4
1,21:54:22,2b05b3b11c6b,docker_redis_4,4,0.20,1.585446912,419.4304,0.38%,0.00307,0.0,0.0041,0.0,4
2,21:54:22,cd4ba585bb4b,docker_redis_11,11,0.19,1.5969812479999999,419.4304,0.38%,0.00317,0.0,0.229,0.0,4
3,21:54:22,643f0dbe37af,docker_redis_20,20,0.19,1.59383552,419.4304,0.38%,0.00234,0.0,0.0,0.0,4
4,21:54:22,2dbffbe048d4,docker_redis_2,2,0.20,1.601175552,419.4304,0.38%,0.00317,0.0,0.315,0.0,4
5,21:54:22,dc557cff095d,docker_redis_10,10,0.19,1.5969812479999999,419.4304,0.38%,0.00294,0.0,0.0,0.0,4
6,21:54:22,f5d09c104a97,docker_redis_3,3,0.17,1.585446912,419.4304,0.38%,0.00245,0.0,0.0,0.0,4
7,21:54:22,ec1d6f6ac940,docker_redis_9,9,0.16,1.59383552,419.4304,0.38%,0.00234,0.0,0.0,0.0,4
8,21:54:22,e0a5f6e6da63,docker_redis_19,19,0.19,1.654652928,419.4304,0.39%,0.00317,0.0,0.319,0.0,4
9,21:54:22,f7997f061e96,docker_redis_1,1,0.19,1.59383552,419.4304,0.38%,0.00214,0.0,0.0,0.0,4
10,21:54:22,83157a58737a,docker_redis_18,18,0.19,1.589641216,419.4304,0.38%,0.00245,0.0,0.0,0.0,4
11,21:54:22,90bc0f032d99,docker_redis_17,17,0.19,1.59383552,419.4304,0.38%,0.00234,0.0,0.0,0.0,4
12,21:54:22,69f544b46799,docker_redis_5,5,0.19,1.589641216,419.4304,0.38%,0.00256,0.0,0.0,0.0,4
13,21:54:22,a8eb5fa19d5d,docker_redis_15,15,0.23,2.13385216,419.4304,0.51%,0.0033,0.0,0.7,0.0,4
14,21:54:22,155b13304d71,docker_redis_14,14,0.20,1.601175552,419.4304,0.38%,0.00317,0.0,0.34,0.0,4
15,21:54:22,764d50324ee9,docker_redis_7,7,0.18,1.589641216,419.4304,0.38%,0.00256,0.0,0.0,0.0,4
16,21:54:22,d591f7e3bef2,docker_redis_16,16,0.19,1.59383552,419.4304,0.38%,0.00207,0.0,0.0,0.0,4
17,21:54:22,12aa8aa2e051,docker_redis_13,13,0.19,2.174746624,419.4304,0.52%,0.00317,0.0,0.791,0.0,4
18,21:54:22,51a6dfcb3a60,docker_redis_12,12,0.18,1.59383552,419.4304,0.38%,0.00207,0.0,0.0,0.0,4
19,21:54:22,662cb50ce8fe,docker_redis_6,6,0.21,1.613758464,419.4304,0.38%,0.00317,0.0,0.168,0.0,4
20,21:54:23,0698500cc860,docker_redis_8,8,0.14,1.63053568,419.4304,0.39%,0.00328,0.0,0.205,0.0,4
21,21:54:23,2b05b3b11c6b,docker_redis_4,4,0.16,1.585446912,419.4304,0.38%,0.00317,0.0,0.0041,0.0,4
