,timestamp,mem_total,mem_used,mem_free,mem_shared,mem_cache,mem_available,swap_total,swap_used,swap_free
0,18:32:09,16229436,1394676,13240472,248172,1594288,14637.551615999999,2097148,0,2097148
1,18:32:10,16229436,1395844,13240272,247192,1593320,14637.359104,2097148,0,2097148
2,18:32:11,16229436,1392480,13235816,254984,1601140,14632.81664,2097148,0,2097148
3,18:32:12,16229436,1391624,13240280,251352,1597532,14637.416448,2097148,0,2097148
4,18:32:13,16229436,1393692,13237448,252100,1598296,14634.532863999999,2097148,0,2097148
5,18:32:14,16229436,1394200,13237808,251220,1597428,14634.913792,2097148,0,2097148
6,18:32:15,16229436,1395504,13237508,250200,1596424,14634.622975999999,2097148,0,2097148
7,18:32:16,16229436,1394552,13241848,246792,1593036,14639.08352,2097148,0,2097148
8,18:32:17,16229436,1391420,13246796,244952,1591220,14644.174847999999,2097148,0,2097148
9,18:32:18,16229436,1394316,13238636,250204,1596484,14635.831295999998,2097148,0,2097148
10,18:32:19,16229436,1394404,13239368,249364,1595664,14636.601343999999,2097148,0,2097148
11,18:32:20,16229436,1394380,13240384,248344,1594672,14637.666303999998,2097148,0,2097148
12,18:32:21,16229436,1394884,13243336,244872,1591216,14640.705536,2097148,0,2097148
13,18:32:22,16229436,1396940,13241272,244852,1591224,14638.620672,2097148,0,2097148
14,18:32:23,16229436,1398344,13234428,250268,1596664,14631.636992,2097148,0,2097148
15,18:32:24,16229436,1415184,13218320,249520,1595932,14615.158784,2097148,0,2097148
16,18:32:25,16229436,1455924,13178740,248344,1594772,14574.645247999999,2097148,0,2097148
17,18:32:26,16229436,1463096,13175016,244872,1591324,14570.852352,2097148,0,2097148
18,18:32:27,16229436,1487456,13150672,244852,1591308,14545.94048,2097148,0,2097148
19,18:32:28,16229436,1518128,13114456,250380,1596852,14508.87168,2097148,0,2097148
20,18:32:29,16229436,1524572,13109188,249188,1595676,14503.489536,2097148,0,2097148
21,18:32:30,16229436,1538400,13096124,248408,1594912,14490.128384,2097148,0,2097148
22,18:32:31,16229436,1539272,13098768,244872,1591396,14492.856319999999,2097148,0,2097148
23,18:32:32,16229436,1538340,13099692,244852,1591404,14493.831167999999,2097148,0,2097148
24,18:32:33,16229436,1546068,13086448,250356,1596920,14480.2816,2097148,0,2097148
25,18:32:34,16229436,1546900,13086404,249552,1596132,14480.252928,2097148,0,2097148
26,18:32:35,16229436,1548196,13089436,245208,1591804,14483.37408,2097148,0,2097148
27,18:32:36,16229436,1551572,13086380,244872,1591484,14480.26112,2097148,0,2097148
28,18:32:37,16229436,1551720,13082800,248280,1594916,14476.619776,2097148,0,2097148
29,18:32:38,16229436,1552076,13082152,248548,1595208,14475.9808,2097148,0,2097148
30,18:32:39,16229436,1552776,13082140,247844,1594520,14475.984896,2097148,0,2097148
31,18:32:40,16229436,1553356,13084404,244984,1591676,14478.319615999999,2097148,0,2097148
32,18:32:41,16229436,1552612,13085768,244336,1591056,14479.745024,2097148,0,2097148
33,18:32:42,16229436,1557108,13077892,247696,1594436,14471.70048,2097148,0,2097148
34,18:32:43,16229436,1558460,13076040,248180,1594936,14469.820415999999,2097148,0,2097148
35,18:32:44,16229436,1558496,13076260,247908,1594680,14470.06208,2097148,0,2097148
36,18:32:45,16229436,1557220,13080464,244984,1591752,14474.371072,2097148,0,2097148
37,18:32:46,16229436,1557136,13081168,244336,1591132,14475.116543999999,2097148,0,2097148
38,18:32:47,16229436,1549552,13085412,247660,1594472,14479.48288,2097148,0,2097148
39,18:32:48,16229436,1550840,13083656,248116,1594940,14477.697024,2097148,0,2097148
40,18:32:49,16229436,1549340,13085344,247908,1594752,14479.446016,2097148,0,2097148
41,18:32:50,16229436,1548556,13089180,244836,1591700,14483.394559999999,2097148,0,2097148
42,18:32:51,16229436,1548796,13089624,244132,1591016,14483.8656,2097148,0,2097148
43,18:32:52,16229436,1551688,13083124,247716,1594624,14477.234176,2097148,0,2097148
44,18:32:53,16229436,1549904,13082128,250476,1597404,14476.234751999998,2097148,0,2097148
45,18:32:54,16229436,1550232,13083084,249172,1596120,14477.234176,2097148,0,2097148
46,18:32:55,16229436,1552384,13085000,245088,1592052,14479.212544,2097148,0,2097148
47,18:32:57,16229436,1552300,13085124,245036,1592012,14479.351808,2097148,0,2097148
48,18:32:58,16229436,1551088,13082924,248420,1595424,14477.12768,2097148,0,2097148
49,18:32:59,16229436,1550692,13081440,250280,1597304,14475.624447999999,2097148,0,2097148
50,18:33:00,16229436,1550952,13082144,249300,1596340,14476.361728,2097148,0,2097148
51,18:33:01,16229436,1564144,13073008,245232,1592284,14467.018752,2097148,0,2097148
52,18:33:02,16229436,1562468,13074908,244988,1592060,14468.984832,2097148,0,2097148
53,18:33:03,16229436,1566220,13066456,249664,1596760,14460.35456,2097148,0,2097148
54,18:33:04,16229436,1557040,13075376,249908,1597020,14469.505024,2097148,0,2097148
55,18:33:05,16229436,1557772,13075684,248856,1595980,14469.832703999999,2097148,0,2097148
56,18:33:06,16229436,1555176,13082716,244400,1591544,14477.053952,2097148,0,2097148
57,18:33:07,16229436,1554612,13083328,244340,1591496,14477.692927999999,2097148,0,2097148
58,18:33:08,16229436,1553452,13078492,250308,1597492,14472.769536,2097148,0,2097148
59,18:33:09,16229436,1553272,13078900,249940,1597264,14473.281535999999,2097148,0,2097148
60,18:33:10,16229436,1553836,13079076,249180,1596524,14473.531391999999,2097148,0,2097148
61,18:33:11,16229436,1554020,13082952,245096,1592464,14477.524991999999,2097148,0,2097148
