,timestamp,procs_r,procs_b,mem_swpd,mem_free,mem_buff,mem_cache,swap_si,swap_so,io_bi,io_bo,sys_in,sys_cs,cpu_us,cpu_sy,cpu_id,cpu_wa,cpu_st
0,20:01:35,15,0,0,12023.968,76568,1445832,0,0,526,28,253,423,21,2,60,18,0
1,20:01:36,15,0,0,12025.668,76568,1444888,0,0,524,28,253,422,21,2,59,18,0
2,20:01:38,17,0,0,12018.024,76568,1447476,0,0,522,28,254,422,22,2,59,17,0
3,20:01:39,15,0,0,12021.056,76568,1446812,0,0,519,28,254,421,22,2,59,17,0
4,20:01:40,15,0,0,12006.684,76576,1448624,0,0,518,28,255,420,22,2,59,17,0
5,20:01:41,15,0,0,12004.376,76576,1448224,0,0,515,27,256,419,23,2,58,17,0
6,20:01:42,15,0,0,12004.076,76576,1447720,0,0,513,27,256,418,23,2,58,17,0
7,20:01:44,15,0,0,12017.804,76576,1448316,0,0,511,27,257,418,23,2,58,17,0
8,20:01:45,15,1,0,12018.092,76584,1448952,0,0,509,27,258,417,24,2,58,17,0
9,20:01:46,15,0,0,12017.392,76584,1448052,0,0,507,27,259,416,24,2,57,17,0
10,20:01:47,15,0,0,12019.888,76584,1448504,0,0,505,27,259,415,24,2,57,17,0
11,20:01:48,15,0,0,12001.68,76584,1448532,0,0,503,27,261,416,25,2,57,17,0
12,20:01:49,16,0,0,11963.996,76584,1447720,0,0,501,27,263,419,25,2,57,17,0
13,20:01:51,16,0,0,11862.276,76592,1448236,0,0,499,27,266,423,25,2,56,17,0
14,20:01:52,15,0,0,11800.42,76592,1448332,0,0,497,26,269,428,26,2,56,17,0
15,20:01:53,16,0,0,11603.836,76592,1449072,0,0,495,26,273,436,26,2,56,17,0
16,20:01:54,15,0,0,11482.78,76592,1449524,0,0,493,26,277,445,26,2,56,16,0
17,20:01:55,15,0,0,11398.4,76592,1447944,0,0,491,26,281,453,26,2,55,16,0
18,20:01:57,15,0,0,11315.32,76600,1449124,0,0,489,26,286,465,27,2,55,16,0
19,20:01:58,15,1,0,11182.144,76620,1448304,0,0,487,26,290,475,27,2,55,16,0
20,20:01:59,16,0,0,11076.396,76668,1451304,0,0,485,26,295,485,27,2,55,16,0
21,20:02:00,16,0,0,11001.372,76668,1451456,0,0,484,26,299,495,27,2,55,16,0
22,20:02:01,16,0,0,10950.684,76668,1451036,0,0,482,26,304,505,28,2,54,16,0
23,20:02:02,15,0,0,10917.028,76680,1450360,0,0,480,26,309,515,28,2,54,16,0
24,20:02:03,18,0,0,10918.04,76680,1450020,0,0,478,26,312,523,28,2,54,16,0
25,20:02:05,15,0,0,10909.328,76680,1450472,0,0,476,26,316,530,28,2,54,16,0
26,20:02:06,16,0,0,10910.16,76680,1450596,0,0,474,26,319,536,29,2,54,16,0
27,20:02:07,15,1,0,10908.98,76688,1450300,0,0,473,26,323,543,29,2,53,16,0
28,20:02:08,16,0,0,10901.124,76688,1450120,0,0,471,26,327,550,29,2,53,16,0
29,20:02:09,15,0,0,10893.892,76688,1450012,0,0,469,26,330,557,29,2,53,16,0
30,20:02:10,15,0,0,10894.088,76688,1450456,0,0,467,26,334,564,30,2,53,16,0
31,20:02:12,18,0,0,10893.828,76688,1450044,0,0,466,26,338,571,30,2,53,16,0
32,20:02:13,16,0,0,10908.16,76696,1450492,0,0,464,26,342,577,30,2,52,16,0
33,20:02:14,16,2,0,10910.896,76704,1450772,0,0,462,26,346,584,30,2,52,15,0
34,20:02:15,15,0,0,10907.272,76712,1451216,0,0,460,26,350,591,31,2,52,15,0
35,20:02:16,15,0,0,10909.432,76712,1450648,0,0,459,25,353,598,31,2,52,15,0
36,20:02:18,15,0,0,10911.34,76712,1450484,0,0,457,25,357,605,31,2,52,15,0
37,20:02:19,15,0,0,10910.428,76716,1450488,0,0,455,26,361,613,31,2,51,15,0
38,20:02:20,17,0,0,10910.472,76728,1451140,0,0,454,25,364,621,32,2,51,15,0
39,20:02:21,19,0,0,10909.712,76728,1451416,0,0,452,25,368,628,32,2,51,15,0
40,20:02:22,17,0,0,10912.732,76728,1451016,0,0,450,25,371,634,32,2,51,15,0
41,20:02:23,16,0,0,10912.36,76728,1449960,0,0,449,25,375,640,32,2,51,15,0
42,20:02:25,18,0,0,10911.732,76736,1450852,0,0,447,25,378,647,33,2,50,15,0
43,20:02:26,15,0,0,10907.944,76736,1451384,0,0,446,25,382,654,33,2,50,15,0
44,20:02:27,16,0,0,10910.076,76736,1451252,0,0,444,25,385,661,33,2,50,15,0
45,20:02:28,16,0,0,10909.256,76736,1450912,0,0,442,25,389,667,33,2,50,15,0
46,20:02:29,15,1,0,10909.768,76744,1450728,0,0,441,25,393,674,34,2,50,15,0
47,20:02:30,16,0,0,10905.924,76744,1451756,0,0,439,25,396,681,34,2,50,15,0
48,20:02:32,15,0,0,10905.432,76744,1451104,0,0,438,25,400,687,34,2,49,15,0
49,20:02:33,16,0,0,10906.332,76744,1451060,0,0,436,25,403,693,34,2,49,15,0
50,20:02:34,15,0,0,10909.704,76744,1450100,0,0,435,24,407,700,34,2,49,15,0
51,20:02:35,17,0,0,10907.28,76752,1450668,0,0,433,24,411,708,35,2,49,14,0
52,20:02:36,15,0,0,10902.864,76752,1451840,0,0,432,24,414,715,35,2,49,14,0
53,20:02:37,16,0,0,10905.812,76752,1450836,0,0,430,24,417,721,35,2,49,14,0
54,20:02:39,15,0,0,10908.848,76752,1450948,0,0,429,24,420,725,35,2,48,14,0
55,20:02:40,15,1,0,10907.136,76760,1450680,0,0,427,24,423,730,35,2,48,14,0
56,20:02:41,15,0,0,10909.812,76760,1450836,0,0,426,24,426,736,36,2,48,14,0
57,20:02:42,15,0,0,10913.844,76760,1451132,0,0,424,24,430,742,36,2,48,14,0
58,20:02:43,16,0,0,10913.064,76760,1450872,0,0,423,24,433,749,36,2,48,14,0
59,20:02:44,17,0,0,10911.112,76760,1450884,0,0,421,24,436,753,36,2,48,14,0
60,20:02:46,18,0,0,10910.344,76768,1451324,0,0,420,24,439,759,37,2,47,14,0
61,20:02:47,16,0,0,10905.26,76768,1452136,0,0,419,24,442,764,37,2,47,14,0
62,20:02:48,15,0,0,10904.564,76768,1451800,0,0,417,23,445,770,37,2,47,14,0
63,20:02:49,21,0,0,10905.388,76768,1451724,0,0,416,24,448,776,37,2,47,14,0
64,20:02:50,16,0,0,10907.604,76768,1451544,0,0,415,24,451,781,37,2,47,14,0
65,20:02:51,15,0,0,10904.828,76784,1450952,0,0,413,24,454,787,38,2,47,14,0
66,20:02:53,15,0,0,10905.556,76784,1451232,0,0,412,24,458,793,38,2,47,14,0
67,20:02:54,15,0,0,10906.032,76792,1451428,0,0,410,24,460,798,38,2,46,14,0
68,20:02:55,15,0,0,10906.78,76792,1451556,0,0,409,24,463,804,38,2,46,14,0
