,timestamp,mem_total,mem_used,mem_free,mem_shared,mem_cache,mem_available,swap_total,swap_used,swap_free
0,18:56:00,16229436,1628716,13040932,260912,1559788,14390.484992,2097148,0,2097148
1,18:56:01,16229436,1630300,13038712,261764,1560424,14388.256768,2097148,0,2097148
2,18:56:02,16229436,1629876,13038420,261628,1561140,14388.830208,2097148,0,2097148
3,18:56:03,16229436,1630768,13038208,260916,1560460,14388.641791999999,2097148,0,2097148
4,18:56:04,16229436,1629784,13039192,260900,1560460,14389.665792,2097148,0,2097148
5,18:56:05,16229436,1628252,13040540,260808,1560644,14391.062527999999,2097148,0,2097148
6,18:56:06,16229436,1633920,13034372,261544,1561144,14384.771072,2097148,0,2097148
7,18:56:07,16229436,1634000,13034012,261540,1561424,14384.427007999999,2097148,0,2097148
8,18:56:08,16229436,1633836,13034964,260944,1560636,14385.471488,2097148,0,2097148
9,18:56:09,16229436,1633632,13035412,260676,1560392,14385.954816,2097148,0,2097148
10,18:56:10,16229436,1636572,13032252,260876,1560612,14382.739456,2097148,0,2097148
11,18:56:11,16229436,1631352,13036828,261504,1561256,14387.441664,2097148,0,2097148
12,18:56:12,16229436,1632436,13035836,261396,1561164,14386.442239999998,2097148,0,2097148
13,18:56:13,16229436,1637088,13031600,260948,1560748,14382.137343999999,2097148,0,2097148
14,18:56:14,16229436,1676576,12992848,260156,1560012,14342.508544,2097148,0,2097148
15,18:56:15,16229436,1707364,12961348,260876,1560724,14310.244352,2097148,0,2097148
16,18:56:16,16229436,1790312,12877328,261932,1561796,14224.224256,2097148,0,2097148
17,18:56:17,16229436,1819472,12848420,261660,1561544,14194.642944,2097148,0,2097148
18,18:56:18,16229436,1849616,12818708,260944,1561112,14164.242432,2097148,0,2097148
19,18:56:19,16229436,1900152,12768416,260932,1560868,14112.772095999999,2097148,0,2097148
20,18:56:20,16229436,1951188,12719168,258868,1559080,14062.358527999999,2097148,0,2097148
21,18:56:21,16229436,1984356,12683096,261988,1561984,14025.465855999999,2097148,0,2097148
22,18:56:22,16229436,2002432,12665784,261204,1561220,14007.758848,2097148,0,2097148
23,18:56:23,16229436,2002464,12666336,260604,1560636,14008.340479999999,2097148,0,2097148
24,18:56:24,16229436,2003596,12665268,260524,1560572,14007.263232,2097148,0,2097148
25,18:56:25,16229436,2005492,12663008,260852,1560936,14004.981759999999,2097148,0,2097148
26,18:56:26,16229436,2005144,12662728,261456,1561564,14004.719615999998,2097148,0,2097148
27,18:56:27,16229436,2004544,12664104,260404,1560788,14006.145024,2097148,0,2097148
28,18:56:29,16229436,2004732,12664232,260328,1560472,14006.296575999999,2097148,0,2097148
29,18:56:30,16229436,2001176,12667304,260792,1560956,14009.462784,2097148,0,2097148
30,18:56:31,16229436,2008324,12659992,260976,1561120,14001.975295999999,2097148,0,2097148
31,18:56:32,16229436,2008184,12659692,261392,1561560,14001.696768,2097148,0,2097148
32,18:56:33,16229436,2007024,12661688,260536,1560724,14003.761152,2097148,0,2097148
33,18:56:34,16229436,2003908,12666864,258456,1558664,14009.081855999999,2097148,0,2097148
34,18:56:35,16229436,2003624,12665216,260072,1560596,14007.451648,2097148,0,2097148
35,18:56:36,16229436,2008828,12659720,260596,1560888,14001.852416,2097148,0,2097148
36,18:56:37,16229436,2006852,12660544,261456,1562040,14002.728959999999,2097148,0,2097148
37,18:56:38,16229436,2003648,12665036,260404,1560752,14007.353344,2097148,0,2097148
38,18:56:39,16229436,2007224,12661960,259884,1560252,14004.224,2097148,0,2097148
39,18:56:40,16229436,2004488,12664748,259816,1560200,14007.095296,2097148,0,2097148
40,18:56:41,16229436,2005988,12662248,260784,1561200,14004.563967999999,2097148,0,2097148
41,18:56:42,16229436,2001788,12666380,260824,1561268,14008.823808,2097148,0,2097148
42,18:56:43,16229436,2003268,12664272,261436,1561896,14006.6816,2097148,0,2097148
43,18:56:44,16229436,2002048,12666200,260712,1561188,14008.672256,2097148,0,2097148
44,18:56:45,16229436,2002796,12665460,260684,1561180,14007.934975999999,2097148,0,2097148
45,18:56:46,16229436,2001260,12666504,261152,1561672,14009.032704,2097148,0,2097148
46,18:56:47,16229436,2001452,12666384,261064,1561600,14008.926207999999,2097148,0,2097148
47,18:56:48,16229436,2000784,12666988,261108,1561664,14009.561087999999,2097148,0,2097148
48,18:56:49,16229436,2003000,12665288,260324,1561148,14007.836672,2097148,0,2097148
49,18:56:50,16229436,2000504,12667788,260560,1561144,14010.413056,2097148,0,2097148
50,18:56:51,16229436,2006128,12661848,260844,1561460,14004.36736,2097148,0,2097148
51,18:56:52,16229436,2005272,12662056,261480,1562108,14004.592639999999,2097148,0,2097148
52,18:56:53,16229436,2005840,12662928,260016,1560668,14005.510144,2097148,0,2097148
53,18:56:54,16229436,2003140,12665620,260008,1560676,14008.283136,2097148,0,2097148
54,18:56:55,16229436,2001856,12666452,260432,1561128,14009.163776,2097148,0,2097148
55,18:56:56,16229436,2006316,12660872,261528,1562248,14003.470335999998,2097148,0,2097148
56,18:56:57,16229436,2005728,12661780,261188,1561928,14004.420607999999,2097148,0,2097148
57,18:56:58,16229436,2005268,12663052,260352,1561116,14005.747711999999,2097148,0,2097148
58,18:56:59,16229436,2006676,12661388,260588,1561372,14004.064256,2097148,0,2097148
59,18:57:00,16229436,2008072,12660228,260332,1561136,14002.896896,2097148,0,2097148
60,18:57:01,16229436,2009028,12658416,261156,1561992,14001.074176,2097148,0,2097148
61,18:57:03,16229436,2005288,12662352,260944,1561796,14005.121024,2097148,0,2097148
